Марка;Ссылка;Цена в $;Цена в UAH;Город
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1849178.html;24 941 $;697 530 грн;Харьков
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1846319.html;25 745 $;720 000 грн;Черкассы
Opel Crossland X 2020Enjoy 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1839911.html;20 156 $;563 700 грн;Полтава
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1844309.html;20 785 $;581 300 грн;Одесса
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1856029.html;26 066 $;729 000 грн;Полтава
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1853703.html;20 739 $;580 000 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1788655.html;22 902 $;640 500 грн;Харьков
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1840731.html;21 258 $;594 520 грн;Киев
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1829616.html;17 387 $;486 250 грн;Полтава
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1843520.html;20 640 $;577 230 грн;Харьков
Opel Grandland X 2020Individual 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1832834.html;23 342 $;652 810 грн;Хмельницкий
Opel Combo Life 2020Individual 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1834007.html;28 624 $;800 520 грн;Харьков
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1848804.html;23 566 $;659 080 грн;Запорожье
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852450.html;23 209 $;649 080 грн;Одесса
Opel Corsa 2020Elegance 1.2 PureTech AT (101 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855245.html;19 963 $;558 320 грн;Кропивницкий (Кировоград)
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1850706.html;19 666 $;550 000 грн;Черкассы
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1854697.html;20 184 $;564 500 грн;Кропивницкий (Кировоград)
Opel Movano груз. 20202.3TD МТ (125 л.с.) L2H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1850024.html;31 172 $;871 800 грн;Днепр (Днепропетровск)
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1846172.html;20 453 $;572 000 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1818004.html;23 209 $;649 080 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1846378.html;23 342 $;652 810 грн;Одесса
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1845117.html;23 342 $;652 810 грн;Одесса
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1841028.html;21 522 $;601 900 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1851798.html;22 902 $;640 500 грн;Полтава
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1825571.html;23 034 $;644 200 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1841392.html;25 116 $;702 410 грн;Хмельницкий
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1823572.html;23 514 $;657 630 грн;Харьков
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1844319.html;22 526 $;630 000 грн;Одесса
Opel Astra J 2020Enjoy 1.4Т МТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1844331.html;17 356 $;485 400 грн;Одесса
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1855998.html;27 108 $;758 140 грн;Кропивницкий (Кировоград)
Opel Astra J 2020Enjoy 1.4Т МТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1844133.html;17 356 $;485 400 грн;Киев
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1829606.html;23 295 $;651 500 грн;Полтава
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1850672.html;28 963 $;810 000 грн;Черкассы
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1855999.html;28 624 $;800 520 грн;Кропивницкий (Кировоград)
Opel Crossland X 2020Enjoy 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1825570.html;19 991 $;559 100 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1848439.html;24 364 $;681 390 грн;Запорожье
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852452.html;25 422 $;710 990 грн;Одесса
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1849968.html;16 916 $;473 100 грн;Полтава
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1829611.html;29 102 $;813 900 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1825793.html;23 638 $;661 080 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1825801.html;29 095 $;813 700 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1840399.html;25 283 $;707 090 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1841370.html;25 116 $;702 410 грн;Хмельницкий
Opel Insignia 2019Individual Grand Sport 2.0D AT (170 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-insignia-1784534.html;35 395 $;989 900 грн;Хмельницкий
Opel Astra J 2019Enjoy 1.4Т АТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1849165.html;18 414 $;515 000 грн;Днепр (Днепропетровск)
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1837444.html;23 514 $;657 630 грн;Харьков
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855909.html;21 258 $;594 520 грн;Запорожье
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1846012.html;24 941 $;697 530 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1844320.html;29 990 $;838 720 грн;Одесса
Opel Combo пасс. 2020Base 1.5 BlueHDi MT (102 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-combo-pass-1837764.html;21 698 $;606 820 грн;Запорожье
Opel Astra K 2018Individual 1.4 AT (150 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-astra-k-1735029.html;20 020 $;559 900 грн;Хмельницкий
Opel Combo Life 2020Individual 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1838143.html;24 486 $;684 800 грн;Хмельницкий
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1845139.html;25 982 $;726 630 грн;Одесса
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1844382.html;16 913 $;473 000 грн;Черкассы
Opel Astra J 2020Enjoy 1.4Т АТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1844285.html;19 548 $;546 702 грн;Одесса
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1840735.html;23 514 $;657 630 грн;Киев
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1855261.html;23 167 $;647 900 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1846320.html;23 599 $;660 000 грн;Черкассы
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1849346.html;25 041 $;700 326 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1829609.html;23 295 $;651 500 грн;Полтава
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1840573.html;21 496 $;601 175 грн;Полтава
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1855395.html;28 176 $;788 000 грн;Полтава
Opel Corsa 2020Edition 1.2 PureTech STT MT (75 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1854423.html;16 441 $;459 800 грн;Полтава
Opel Combo Cargo 2020Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1838853.html;19 394 $;542 400 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1802413.html;23 342 $;652 810 грн;Харьков
Opel Crossland X 2020Individual 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1823571.html;23 034 $;644 200 грн;Харьков
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1805653.html;29 548 $;826 360 грн;Харьков
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1844501.html;30 681 $;858 050 грн;Хмельницкий
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1843932.html;30 681 $;858 050 грн;Хмельницкий
Opel Corsa 2020Elegance Plus 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1840721.html;23 382 $;653 920 грн;Киев
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1854763.html;25 422 $;710 990 грн;Днепр (Днепропетровск)
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1834185.html;26 442 $;739 500 грн;Днепр (Днепропетровск)
Opel Crossland X 2019Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1835431.html;22 583 $;631 580 грн;Запорожье
Opel Corsa 2020Edition 1.2 PureTech STT MT (75 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1854844.html;16 175 $;452 381 грн;Днепр (Днепропетровск)
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1833938.html;20 184 $;564 500 грн;Днепр (Днепропетровск)
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1838170.html;21 250 $;594 310 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855228.html;25 422 $;710 990 грн;Кропивницкий (Кировоград)
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1852455.html;24 486 $;684 800 грн;Одесса
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855834.html;21 239 $;594 000 грн;Черкассы
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1838105.html;24 375 $;681 700 грн;Запорожье
